Subject,Total,Y1,Y2,Y3,Y4
6.2000,161,20,115,20,6
6.3000,153,6,81,53,13
6.2500,123,3,32,69,19
6.100A,120,73,20,16,11
6.1910,119,12,65,25,17
6.UAT,95,,8,32,55
6.2300,94,1,21,40,32
6.2050,85,,3,46,36
6.3010,83,,17,33,33
6.3100,60,,12,26,22
6.9080,58,37,20,,1
6.2040,47,2,7,24,14
6.100B,46,21,15,5,5
6.2060,43,,13,24,6
18.06,43,9,9,5,20
6.6220,41,,6,11,24
6.3900,41,2,11,10,18
8.223,38,16,13,7,2
6.2090,38,2,3,15,18
18.600,38,,10,14,14
8.04,35,3,25,7,
6.UAR,34,,,13,21
6.9010,34,17,11,3,3
6.3700,34,3,19,9,3
6.2220,34,1,6,13,14
6.1010,33,6,13,6,8
6.041A,33,,17,10,6
8.044,31,3,12,10,6
2.EPW,30,,30,,
8.03,28,6,15,3,4
6.3102,25,,3,9,13
6.2210,25,,4,6,15
6.3400,24,3,9,6,6
6.1200,24,8,10,2,4
8.05,23,2,6,15,
6.4810,23,,,15,8
2.EPE,23,2,4,17,
18.03,21,11,9,1,
8.13,20,,5,11,4
6.UR,18,3,8,4,3
6.4900,18,1,10,3,4
6.169,18,3,13,,2
6.007,18,,10,4,4
