Subject,Total,Y1,Y2,Y3,Y4
6.1010,152,28,83,33,8
6.100A,150,108,25,13,4
6.1210,146,16,69,52,9
6.1200,143,30,84,24,5
6.100B,143,73,41,19,10
7.06,138,2,16,79,41
7.05,136,4,96,31,5
6.1220,121,4,17,54,46
7.03,113,3,69,34,7
6.UAT,89,,4,29,56
20.110,76,,40,28,8
6.3900,58,3,19,19,17
6.8701,54,,3,26,25
7.002,51,8,17,19,7
5.60,44,,17,14,13
7.02,43,,15,22,6
18.06,41,3,13,15,10
7.003,36,,3,14,19
5.12,35,2,24,6,3
18.600,34,,11,13,10
7.URG,32,7,16,7,2
6.9620,29,10,13,2,4
6.9080,29,16,13,,
5.13,29,4,16,3,6
18.03,29,4,15,5,5
7.45,28,,,9,19
6.1020,28,,15,9,4
2.EPE,28,8,8,12,
7.093,27,,1,14,12
5.310,27,,1,9,17
2.EPW,27,,25,2,
7.094,24,,1,13,10
6.UAR,23,,,11,12
7.33,20,1,2,7,10
6.4880,20,,1,10,9
20.URG,20,2,13,1,4
7.20,19,,1,9,9
