Subject,Total,Y1,Y2,Y3,Y4
6.100A,164,156,8,,
6.1010,157,114,32,9,2
6.1200,121,91,26,4,
6.1210,97,43,48,6,
6.3900,81,22,48,9,2
6.100B,58,51,4,3,
6.1220,37,10,15,11,1
18.06,34,14,15,5,
6.9620,28,19,7,2,
18.600,28,6,20,2,
6.9630,23,16,4,3,
6.3700,23,5,15,2,1
2.EPE,23,,22,1,
6.1020,18,,15,3,
2.EPW,18,,18,,
