Subject,Total,Y1,Y2,Y3,Y4
6.1910,2316,226,1423,566,101
6.1010,2301,1091,995,158,57
6.1210,2282,705,1351,185,41
6.1020,2269,41,1273,773,182
6.100A,2183,1713,222,91,157
6.1800,2163,9,421,1246,487
6.1220,2063,195,830,823,215
6.3900,1867,323,1023,408,113
6.1200,1566,782,690,66,28
6.UAT,1442,9,131,657,645
6.9010,898,274,372,178,74
6.4100,831,20,312,383,116
6.100B,723,547,101,37,38
6.9080,678,504,159,10,5
18.600,676,49,308,194,125
6.9620,604,319,195,65,25
18.06,559,76,187,160,136
6.1060,549,1,22,304,222
6.1040,434,,16,182,236
18.650,381,22,129,134,96
6.5660,376,2,22,129,223
6.8301,341,6,68,139,128
6.5610,334,3,27,143,161
2.EPW,332,,327,5,
6.9630,320,152,84,54,30
6.EPW,319,,319,,
18.03,313,46,116,88,63
18.701,312,176,101,27,8
6.7900,307,8,85,138,76
6.UAR,304,,1,149,154
6.9610,295,157,72,39,27
2.EPE,288,62,97,129,
6.3400,287,19,67,109,92
6.5840,273,2,23,92,156
18.404,273,19,119,84,51
