Subject,Total,Y1,Y2,Y3,Y4
6.100A,250,205,30,9,6
6.1210,229,31,142,48,8
6.1200,220,85,111,16,8
6.3900,217,13,109,74,21
6.100B,198,149,31,13,5
6.1220,195,3,50,99,43
6.1010,176,75,77,18,6
15.276,165,7,62,72,24
15.053,158,2,54,66,36
14.32,142,1,40,67,34
18.06,129,8,59,46,16
15.780,88,,7,39,42
15.401,78,27,39,11,1
18.600,73,12,40,18,3
15.501,71,8,38,17,8
14.33,65,,,15,50
15.312,51,2,24,11,14
14.13,47,,1,11,35
18.650,40,3,13,17,7
14.30,40,,24,12,4
6.9620,36,23,11,1,1
2.EPW,35,,35,,
6.EPW,34,,34,,
6.UAT,33,,6,14,13
18.03,31,3,14,8,6
15.000,31,28,3,,
6.9630,27,14,6,6,1
2.EPE,27,1,19,7,
